Name,Distance,Duration,Average Speed,Mean Speed,Std Deviation Speed,Speed Variance,Percentage Time At High Speed,Sustained High Speed Segment Count,Stop Count,Percentage Time Stopped,Sinuosity,Bearing Change Rate,Elevation Gain,Elevation Loss,Category
Driving to Tesco Phibsborough,3545.7,673,18.9,19.8,21.0,439.4,0.0,0,3,25.1,1.043,2936.6,58.8,37.3,errand
Driving back from SuperValu Stoneybatter,3158.4,451,25.2,24.8,11.8,139.6,0.0,0,14,20.2,1.18,3152.7,55.9,65.2,errand
Driving to Aldi Cabra,4509.1,853,19.0,19.3,15.1,228.1,0.0,0,5,42.8,1.632,2449.5,52.7,36.9,errand
Driving back from Lidl Finglas,5000.2,1234,14.6,14.7,12.7,162.4,0.0,0,6,44.1,1.406,3591.8,22.4,29.3,errand
Driving to Boots Henry Street,2883.4,410,25.3,26.1,17.2,295.6,0.0,0,9,16.1,1.471,3077.1,44.5,59.7,errand
Driving back from Post Office Drumcondra,4101.5,558,26.5,24.7,18.9,355.9,0.0,0,8,30.3,1.467,2858.5,58.6,40.4,errand
Driving to Dry Cleaners Glasnevin,3703.1,688,19.4,21.1,18.6,344.8,0.0,0,10,35.7,1.136,3322.6,24.6,28.2,errand
Driving back from Pharmacy Cabra,6596.9,1134,20.9,19.3,17.1,293.9,0.0,0,14,19.2,1.67,1946.0,20.8,48.6,errand
Driving to Centra Glasnevin,3711.3,860,15.5,15.3,12.7,162.3,0.0,0,13,36.5,1.313,2768.5,35.8,15.0,errand
Driving back from Local Garage,4133.9,1092,13.6,12.4,8.8,77.1,0.0,0,7,15.1,1.337,2304.5,45.9,65.3,errand
Driving to Recycling Centre,1976.9,364,19.5,19.4,20.0,402.0,0.0,0,12,17.0,1.326,2038.7,38.4,27.3,errand
Driving back from Dentist Phibsborough,5526.1,851,23.4,21.3,24.9,622.4,0.0,0,3,45.6,1.138,2119.9,17.3,62.7,errand
Driving to Vet Castleknock,4937.8,1065,16.7,18.3,18.1,328.5,0.0,0,4,17.9,1.133,1802.9,17.6,66.4,errand
Driving back from Hardware Store Finglas,1761.5,233,27.1,24.8,19.6,382.5,0.0,0,11,22.5,1.368,2870.1,58.6,48.7,errand
Driving to Library Cabra,3506.4,676,18.7,19.6,10.7,114.3,0.0,0,11,34.7,1.112,3877.5,60.1,26.8,errand
Driving back from Petrol Station N3,4874.4,732,24.0,21.6,18.2,331.8,0.0,0,12,20.5,1.289,2812.2,27.0,36.4,errand
Driving to Butcher Stoneybatter,5349.7,1263,15.2,13.9,19.9,397.3,0.0,0,2,16.7,1.334,3182.8,31.0,22.1,errand
Driving back from Farmer's Market Smithfield,5669.2,893,22.8,21.2,10.6,113.3,0.0,0,14,33.7,1.292,2868.8,52.7,75.4,errand
Driving to Charity Shop Drumcondra,5069.3,1231,14.8,13.9,13.0,169.8,0.0,0,7,34.8,1.485,2017.0,51.1,16.9,errand
Driving back from DIY Store Blanchardstown,2799.5,607,16.6,17.8,13.5,181.9,0.0,0,8,27.3,1.512,2865.7,70.0,56.4,errand
Drop kids to school,23806.7,2942,29.1,26.8,21.6,468.0,2.8,0,35,13.8,54.484,3908.8,221.1,175.3,urban
Trip to the office,17598.7,1998,31.7,32.7,16.5,273.0,4.7,2,28,32.4,138.881,4053.2,154.8,204.4,urban
Visit to Mater Hospital,10958.3,1672,23.6,23.3,24.3,589.0,9.3,1,8,18.8,1.261,2300.7,185.1,48.5,urban
Dinner in town,21106.2,3067,24.8,25.1,23.8,565.2,2.1,0,3,43.9,1.479,4993.6,140.0,204.5,urban
Collect parcel from depot,7952.7,1194,24.0,23.1,25.0,625.3,9.1,2,38,20.0,1.439,4534.8,207.6,83.0,urban
Drive to Temple Bar,19137.6,3074,22.4,20.5,14.0,196.7,0.9,0,29,22.2,1.205,5248.5,217.1,196.2,urban
Visit friend in Rathmines,4831.1,570,30.5,33.2,21.5,461.3,4.8,1,34,15.1,111.213,2804.0,117.0,140.4,urban
Run to Liffey Valley,14424.7,3437,15.1,14.0,16.7,277.5,2.2,0,23,22.4,183.613,4796.5,166.0,221.5,urban
Drive to Croke Park,7781.5,2213,12.7,12.0,28.4,807.8,1.9,0,10,24.1,1.456,4221.2,63.5,212.4,urban
Pick up from Connolly Station,5170.1,624,29.8,29.2,20.7,426.5,6.2,1,22,38.4,231.082,2826.7,115.5,123.7,urban
Visit to IKEA,20140.4,2226,32.6,34.7,24.1,580.5,8.6,2,37,33.9,1.404,2805.6,92.3,208.3,urban
Cinema in Coolock,19035.4,3158,21.7,21.6,16.6,275.9,2.5,0,20,27.1,81.364,3430.9,151.3,107.4,urban
Drive to Phoenix Park,11317.4,2112,19.3,18.8,20.6,423.9,8.4,2,32,15.5,60.88,3930.0,64.4,154.1,urban
Pick up from airport bus stop,27732.6,5940,16.8,15.8,14.0,196.9,0.1,0,20,7.8,207.464,3973.3,30.0,131.2,urban
Trip to Dundrum Town Centre,24512.8,3381,26.1,23.8,21.5,462.0,3.6,2,8,35.4,1.549,2419.0,130.6,272.5,urban
Visit to family in Ballymun,12605.8,1695,26.8,29.2,13.9,193.8,3.5,1,38,8.5,1.395,2576.5,188.2,220.0,urban
Drive across to Sandymount,24276.6,2985,29.3,28.8,23.1,533.1,9.6,1,6,12.6,1.381,2110.5,224.7,144.7,urban
Errands around Dublin 8,5589.4,976,20.6,19.6,16.2,261.3,7.2,1,20,30.5,123.413,3002.1,146.6,249.8,urban
Drive to Smithfield Market,13361.9,3371,14.3,14.0,22.3,496.3,4.0,1,32,9.9,202.201,4081.4,226.5,42.8,urban
Collect from Beaumont Hospital,19308.9,3657,19.0,18.1,13.1,172.7,6.9,1,18,29.7,92.831,4301.4,262.5,76.7,urban
Drive to Cork,77356.0,3687,75.5,75.2,10.8,116.2,51.4,14,1,3.5,1.181,712.7,335.6,169.5,highway
M1 to Belfast,159200.3,8663,66.2,64.5,13.8,189.2,60.3,6,1,2.2,1.089,645.8,351.4,362.2,highway
Trip to Galway,157307.8,9218,61.4,62.3,19.2,368.5,63.4,10,0,3.4,1.09,512.7,196.0,360.3,highway
M9 to Kilkenny,161887.6,8127,71.7,74.2,17.9,321.0,36.4,13,2,6.0,1.03,609.3,243.4,317.2,highway
Drive to Limerick,123399.6,6440,69.0,69.3,15.3,232.8,42.7,16,3,2.5,1.142,384.7,109.2,444.1,highway
M7 to Portlaoise,103325.0,4998,74.4,75.5,14.0,194.7,58.5,6,3,2.9,1.076,353.6,57.1,152.5,highway
Trip to Waterford,159067.7,5455,105.0,109.1,19.0,359.5,73.8,15,2,0.8,1.133,654.6,76.7,228.8,highway
M50 around to Airport,108643.7,5716,68.4,72.9,10.9,118.5,54.8,8,2,3.3,1.205,696.4,144.5,356.7,highway
